image,timestamp_start_fixation,timestamp_end_fixation,x_position,y_position,angular_resolution_x_pixels_per_degree,angular_resolution_y_pixels_per_degree,window_width,window_level,xmin_shown_from_image,ymin_shown_from_image,xmax_shown_from_image,ymax_shown_from_image,xmin_in_screen_coordinates,ymin_in_screen_coordinates,xmax_in_screen_coordinates,ymax_in_screen_coordinates
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,90.882,91.133,527,2229,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,91.146,91.508,605,2199,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,91.564,91.786,537,2187,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,91.856,92.468,956,2479,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,92.483,92.608,980,2480,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,92.621,92.775,1027,2424,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,92.789,93.122,1023,2419,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,93.15,93.525,1099,2107,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,93.554,93.693,1007,2568,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,93.874,94.0,1824,2540,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,94.069,94.306,1832,2525,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,94.417,94.542,1938,2303,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,95.461,95.674,692,2039,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,95.714,96.044,696,1863,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,96.211,96.365,805,1769,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,96.379,96.685,815,1785,24,24,1.28,0.55,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,96.727,97.005,944,1678,24,24,1.28,0.55,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,97.13,97.339,967,1560,24,24,1.28,0.57,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,97.395,98.007,746,1510,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,98.035,98.369,559,1837,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,98.482,98.815,651,1560,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,98.926,99.441,548,1996,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,99.47,99.762,692,2189,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,99.999,100.109,1975,1525,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,100.138,100.263,1919,1536,24,24,1.28,0.57,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,100.291,100.459,1884,1554,24,24,1.28,0.57,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,100.474,100.694,1868,1562,24,24,1.28,0.52,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,100.791,100.903,1041,1322,24,24,1.27,0.45,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,101.251,101.39,785,1162,24,24,1.29,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,101.794,101.907,692,790,24,24,1.28,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,101.922,102.031,678,721,24,24,1.28,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,102.045,102.171,630,763,24,24,1.28,0.52,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,102.184,102.309,675,801,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,102.56,102.671,2062,611,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,102.713,103.019,1981,671,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,103.145,103.437,1816,697,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,103.451,103.716,1986,872,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,103.897,104.037,1461,1667,24,24,1.28,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,104.051,104.578,1470,1674,24,24,1.28,0.48,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,104.623,104.985,1541,1061,24,24,1.27,0.4,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,105.163,105.442,1804,624,24,24,1.27,0.59,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,105.457,105.679,1799,581,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,105.692,105.929,1784,633,24,24,1.28,0.48,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,105.984,106.123,2150,310,24,24,1.28,0.47,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,106.374,106.486,450,1071,24,24,1.28,0.48,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,106.543,106.667,526,1068,24,24,1.28,0.53,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,106.736,106.932,361,876,24,24,1.28,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,106.973,107.098,880,983,24,24,1.28,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,107.112,107.343,882,1031,24,24,1.28,0.57,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,107.354,107.696,751,961,24,24,1.28,0.52,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,107.822,108.06,1186,796,24,24,1.28,0.44,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,108.13,108.575,759,892,24,24,1.27,0.46,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,108.616,108.728,680,961,24,24,1.26,0.55,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,108.74,108.866,669,960,24,24,1.26,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,108.88,109.102,681,964,24,24,1.26,0.59,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,109.144,109.269,714,967,24,24,1.27,0.53,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,109.395,109.52,599,950,24,24,1.27,0.53,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,109.534,109.716,578,921,24,24,1.27,0.53,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,109.728,109.979,583,902,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,109.993,110.118,574,903,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,110.146,110.55,753,874,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,110.564,110.704,774,885,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,110.718,111.136,739,874,24,24,1.28,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,111.17,111.357,757,884,24,24,1.28,0.57,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,111.371,111.596,737,879,24,24,1.28,0.6,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,111.625,111.886,694,906,24,24,1.29,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,111.9,112.123,702,863,24,24,1.29,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,112.917,113.099,1001,916,24,24,1.29,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,113.21,113.32,809,1115,24,24,1.29,0.49,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,113.334,113.435,827,1105,24,24,1.29,0.48,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,113.466,113.627,848,1095,24,24,1.29,0.45,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,113.64,113.835,843,1113,24,24,1.28,0.42,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,113.878,114.044,966,1530,24,24,1.28,0.43,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,114.155,114.268,923,2213,24,24,1.28,0.47,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,114.299,114.42,964,2188,24,24,1.28,0.53,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,114.461,114.574,903,2488,24,24,1.28,0.56,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,114.976,115.09,1835,1968,24,24,1.28,0.59,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,115.213,115.395,723,1973,24,24,1.28,0.55,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,115.41,115.533,757,1907,24,24,1.28,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,115.658,115.784,776,1979,24,24,1.28,0.49,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,115.826,115.992,541,2045,24,24,1.25,0.53,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,116.008,116.131,519,2050,24,24,1.24,0.53,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,116.148,116.342,544,2088,24,24,1.23,0.56,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,116.355,116.467,766,2106,24,24,1.22,0.59,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,116.481,116.884,800,2107,24,24,1.21,0.61,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,116.897,117.065,802,2119,24,24,1.18,0.64,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,117.078,117.315,927,2035,24,24,1.17,0.67,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,117.454,117.733,826,2065,24,24,1.17,0.64,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,117.76,117.983,829,2030,24,24,1.17,0.61,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,117.996,118.136,689,1821,24,24,1.17,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,118.151,118.274,686,1811,24,24,1.16,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,118.29,118.428,723,1803,24,24,1.16,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,118.443,118.639,931,1893,24,24,1.15,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,118.652,118.987,940,1890,24,24,1.14,0.59,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,119.0,119.305,840,1855,24,24,1.14,0.61,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,119.319,119.514,883,2103,24,24,1.13,0.66,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,119.528,119.849,902,2127,24,24,1.13,0.66,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,119.861,120.016,916,2100,24,24,1.12,0.71,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,120.087,120.238,885,1848,24,24,1.12,0.66,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,120.252,120.377,853,1857,24,24,1.12,0.64,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,120.447,120.573,1970,1947,24,24,1.09,0.62,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,120.588,120.699,1961,1978,24,24,1.09,0.6,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,120.712,120.894,1906,1962,24,24,1.09,0.56,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,120.948,121.368,845,2121,24,24,1.09,0.5,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,121.381,121.56,833,2113,24,24,1.06,0.46,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,121.588,121.827,1155,2296,24,24,1.03,0.53,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,121.867,122.384,957,2595,24,24,1.03,0.62,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,122.466,122.674,2042,2478,24,24,1.06,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,122.688,122.855,1992,2460,24,24,1.06,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,122.994,123.274,1646,2461,24,24,1.05,0.45,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,123.328,123.468,840,2440,24,24,1.03,0.49,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,123.704,123.9,820,2358,24,24,1.03,0.56,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,123.913,124.067,823,2365,24,24,1.03,0.59,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,124.08,124.374,702,2090,24,24,1.03,0.59,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,124.388,124.498,730,2077,24,24,1.04,0.53,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,124.555,124.679,1460,1937,24,24,1.04,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,124.734,124.903,2086,1975,24,24,1.04,0.48,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,124.917,125.027,2029,1968,24,24,1.04,0.45,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,125.152,125.458,1801,1896,24,24,1.04,0.43,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,125.611,125.74,671,1689,24,24,1.03,0.51,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,125.766,125.905,688,1694,24,24,1.03,0.55,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,126.001,126.184,783,1766,24,24,1.01,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,126.239,126.601,842,1900,24,24,1.0,0.63,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,126.655,126.809,598,1544,24,24,0.99,0.67,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,126.823,127.017,617,1559,24,24,0.99,0.69,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,127.045,127.366,748,1500,24,24,0.99,0.72,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,127.49,127.756,584,1616,24,24,1.01,0.63,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,128.215,128.325,1888,1820,24,24,1.01,0.58,0,0,2663,3000,961,0,2879,2160
